Type	Code	Description	Guide
Corrective	248	รหัสการวินิจฉัยโรคไม่ถูกต้อง กรณีบริการแพทย์แผนไทยรายการ ยาสมุนไพร กลุ่มที่มีประสิทธิภาพชัดเจน /ใช้ทดแทนยาแผน ปัจจุบัน จำนวน 9 รายการ	ตรวจสอบการให้รหัสวินิจฉัยโรค ต้องเป็นรหัสแพทย์แผนไทย บันทึกให้ถูกต้อง แล้วส่ง เข้ามาอีกครั้ง
Corrective	249	รหัสโรคและหัตถการไม่สอดคล้องกับการเบิกกรณีค่าจัดเตรียม กระจกตาชั้นใน สำหรับบริการ DSAEK	ตรวจสอบการบันทึกเบิก กรณีเลือกรหัสเบิก DMICNT2 ต้องบันทึกรหัสโรคและหัตถการ ให้ถูกต้องตามเงื่อนไขที่กำหนด แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	250	รหัสโรคไม่ถูกต้อง กรณีเบิกชดเชยบริการยาเม็ดคุมกำเนิดชนิด ฮอร์โมนเดี่ยว (Progestogen-only pill – POP) (มี Lynestrenol 0.5 mg.)	ตรวจสอบการให้รหัสโรค บันทึกให้ถูกต้อง แล้วส่งเข้ามาอีกครั้ง
Corrective	251	หน่วยบริการ CT/MRI บันทึกรหัสโรคไม่ถูกต้องตามเงื่อนไขที่ กำหนด	ตรวจสอบการให้รหัสโรค บันทึกให้ถูกต้อง แล้วส่งเข้ามาอีกครั้ง
Corrective	252	หน่วยบริการ CT/MRI ไม่บันทึกรหัสแพทย์ หรือ เลข ว.แพทย์ไม่ ถูกต้อง	ตรวจสอบการบันทึกเลข ว.แพทย์ บันทึกให้ถูกต้องครบถ้วน แก้ไขหรือบันทึกให้ครบถ้วน แล้วส่งมาใหม่
Corrective	253	บันทึกเบิกรหัสฉีดน้ำวุ้นเข้าลูกตา แต่รหัสโรคไม่ตรงตามที่กำหนด	แก้ไขรหัสโรคให้ถูกต้องตามกลุ่มโรคที่กำหนดแล้วส่งเบิกใหม่
Corrective	254	เบิกค่าอุปกรณ์รหัส 9106 และ 9107 ไม่ใช่กลุ่ม 3 กลุ่มโรคที่ กำหนด หรือไม่ใช่หน่วยที่มีศักยภาพเบิกได้	บริการใช้หุ่นยนต์ช่วยผ่าตัด ตรวจสอบรหัสโรค และศักภาพของหน่วยให้ถูกต้องตรงตามที่ สปสช. กำหนด หากไม่ตรงไม่สามารถเบิกได้
Corrective	255	กรณีเด็กอายุตั้งแต่2เดือน -< 20ปีเบิกเครื่องช่วยฟัง 2 ข้าง/ครั้ง ระบุหัตถการ กับ extension code ไม่ถูกต้อง	ตรวจสอบกรณีเด็กอายุตั้งแต่2เดือน -< 20ปี เบิกเครื่องช่วยฟังอุปกรณ์ 2505 ,2506 , 2507 , 2508 , 2509 จำนวน 2 ข้าง/ครั้ง ระบุหัตถการให้สอดคล้อง กับ extension code แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	256-1	ให้รหัส acute blood loss แต่ไม่พบหัตถการให้เลือด	ตรวจสอบการให้รหัสโรครอง กรณีภาวะเลือดจากที่เกิดจากการเสียเลือดอย่างเฉียบพลัน ต้องมีการ รักษาด้วยการให้เลือด
Corrective	256-2	ให้รหัส Convulsions ในกลุ่ม Mental and behavioural disorders	ตรวจสอบการให้รหัสโรครองในผู้ป่วยกลุ่ม F10.3, F10.4 กรณีที่ผู้ป่วยมาด้วยอาการชัก ไม่ต้องให้รหัส R568 ร่วมด้วยอีก
Corrective	256-3	ให้รหัสโรค respiratory failure ในเด็กแรกเกิดผิดหลักการ	ตรวจสอบการให้รหัสกลุ่ม respiratory failure ในเด็กแรกเกิด ให้ถูกต้องตามหลักการให้รหัส
Corrective	256-4	ให้รหัส SIRS ผิดหลักการ	ตรวจสอบการให้รหัสกลุ่ม SIRS without organ failure ไม่ต้องสรุปวินิจฉัยเป็นการวินิจฉัยโรคร่วม
Corrective	256-5	ให้รหัส primary site unknown ผิดหลักการ	ตรวจสอบการให้รหัสโรค กรณีรับไว้เพื่อรักษามะเร็งชนิดทุติยภูมิ ให้ใช้มะเร็งชนิดทุติยภูมินั้น เป็นโรค หลัก ถ้าไม่ทราบมะเร็งที่ตำแหน่งเริ่มต้นให้ใช้รหัส C80.0 เป็นการโรคร่วม
Corrective	256-6	ให้รหัสกลุ่มบาดแผลอักเสบที่ทราบสาเหตุ ผิดหลักการ	ตรวจสอบการให้รหัสโรคกลุ่มบาดแผลอักเสบหรือเนื้อตายเน่าที่ทราบสาเหตุ ให้รหัสตามสาเหตุนั้นๆ โดยไม่ต้องให้รหัสบาดแผลอักเสบหรือเนื้อตายเน่าที่ไม่ทราบสาเหตุร่วมด้วยอีก
Corrective	256-7	การให้รหัสกลุ่มอาการอาเจียนเป็นเลือดในกลุ่มโรค cirrosis ผิดหลักการ	ตรวจสอบการให้รหัสกลุ่มอาการอาเจียนเป็นเลือดในกลุ่มโรค cirrosis ให้ถูกต้องตามหลักการให้รหัส
Corrective	256-8	ให้รหัส Respiratory failure ไม่มีรหัสหัตถการ on ventilator	ตรวจสอบการให้รหัส Respiratory failure ต้องได้รับการรักษาโดยการใส่เครื่องช่วยหายใจ
Corrective	257-1	รหัสโรคไม่ถูกต้อง กรณีเบิกการรักษาด้วยออกซิเจนความกดดันสูง (รหัสเบิก 52020, 52021)	ตรวจสอบการให้รหัสโรค แก้ไขให้ถูกต้องตามข้อบ่งชี้ และส่งข้อมูลเข้ามาใหม่อีกครั้ง กรณีไม่ใช่โรคที่กำหนดไม่สามารถเบิกได้
Corrective	257-2	ค่ายาที่บันทึกเบิกเป็นยาพื้นฐานที่รวมอยู่ในค่าหัตถการแล้ว	ตรวจสอบรายการยาพื้นฐานที่ใช้ในการทำหัตถการ ซึ่งเหมารวมในการทำหัตถการแล้ว ลบรายการยาดังกล่าวและส่งเบิกข้อมูลเขามาใหม่อีกครั้ง
Corrective	257-3	เป็นกรณีให้บริการสร้างเสริมสุขภาพและป้องกันโรค หรือการ ตรวจคัดกรองโรค ไม่สามารถเบิกในกรณีตรวจรักษาผู้ป่วยนอกได้	กรณีบริการสร้างเสริมสุขภาพและป้องกันโรคเป็นไปตามประกาศฯ สปสช.เรื่องการจ่าย ค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีบริการสร้างเสริมสุขภาพและป้องกันโรค สำหรับ บริการพื้นฐาน จ่ายตามรายการบริการ สามารถบันทึกเบิกตามรายการและโปรแกรมที่ กำหนด
